"Reference_Area","Time_Period","Sex","Age_group","Units_of_measurement","Observation_Value"
"Indonesia","1980","Female","15-24 year olds","Percent","81.6484003506299"
"Iran, Islamic Republic of","2012","Male","15-24 year olds","Percent","98.3409474298134"
"Iran, Islamic Republic of","2012","Female","15-24 year olds","Percent","97.6951985702675"
"Iran, Islamic Republic of","2012","All genders","15-24 year olds","Percent","98.0342462650784"
"Iran, Islamic Republic of","2008","All genders","15-24 year olds","Percent","98.6556960536641"
"Iran, Islamic Republic of","2008","Female","15-24 year olds","Percent","98.5161520345193"
"Iran, Islamic Republic of","2008","Male","15-24 year olds","Percent","98.7879166083388"
"Iran, Islamic Republic of","2006","Male","15-24 year olds","Percent","97.1454820859361"
"Iran, Islamic Republic of","2006","Female","15-24 year olds","Percent","96.1321492705982"
"Iran, Islamic Republic of","2006","All genders","15-24 year olds","Percent","96.6437092232051"
"Iran, Islamic Republic of","2005","All genders","15-24 year olds","Percent","97.4315253937842"
"Iran, Islamic Republic of","2005","Male","15-24 year olds","Percent","98.1099842055563"
"Iran, Islamic Republic of","2005","Female","15-24 year olds","Percent","96.7375549108365"
"Iran, Islamic Republic of","2002","Female","15-24 year olds","Percent","90.55660526"
"Iran, Islamic Republic of","2002","Male","15-24 year olds","Percent","95.51682499"
"Iran, Islamic Republic of","2002","All genders","15-24 year olds","Percent","93.02830461"
"Iran, Islamic Republic of","1996","All genders","15-24 year olds","Percent","93.0283046111421"
"Iran, Islamic Republic of","1996","Male","15-24 year olds","Percent","95.5168249864791"
"Iran, Islamic Republic of","1996","Female","15-24 year olds","Percent","90.556605255823"
"Iran, Islamic Republic of","1991","Female","15-24 year olds","Percent","81.2010031510207"
"Iran, Islamic Republic of","1991","Male","15-24 year olds","Percent","92.4355041233298"
"Iran, Islamic Republic of","1991","All genders","15-24 year olds","Percent","86.9742647031619"
"Iran, Islamic Republic of","1986","All genders","15-24 year olds","Percent","75.2049029594146"
"Iran, Islamic Republic of","1986","Male","15-24 year olds","Percent","84.5260831438984"
"Iran, Islamic Republic of","1986","Female","15-24 year olds","Percent","65.5926716963964"
"Iran, Islamic Republic of","1976","Female","15-24 year olds","Percent","42.3278046163941"
"Iran, Islamic Republic of","1976","Male","15-24 year olds","Percent","70.9001736022726"
"Iran, Islamic Republic of","1976","All genders","15-24 year olds","Percent","56.4538626871062"
"Iraq","2012","All genders","15-24 year olds","Percent","82.15785"
"Iraq","2012","Male","15-24 year olds","Percent","83.68367"
"Iraq","2012","Female","15-24 year olds","Percent","80.55634"
"Iraq","2000","Female","15-24 year olds","Percent","80.48683160415"
"Iraq","2000","Male","15-24 year olds","Percent","88.9121737473805"
"Iraq","2000","All genders","15-24 year olds","Percent","84.7968034304649"
"Israel","2011","All genders","15-24 year olds","Percent","99.5497936895455"
"Israel","2011","Male","15-24 year olds","Percent","99.6512792793683"
"Israel","2011","Female","15-24 year olds","Percent","99.4442812223485"
"Israel","1983","Female","15-24 year olds","Percent","98.0460295686633"
"Israel","1983","Male","15-24 year olds","Percent","99.0545654916404"
"Israel","1983","All genders","15-24 year olds","Percent","98.5628617924844"
"Italy","2012","All genders","15-24 year olds","Percent","99.91783"
"Italy","2012","Male","15-24 year olds","Percent","99.91358"
"Italy","2012","Female","15-24 year olds","Percent","99.92233"
"Italy","2001","Male","15-24 year olds","Percent","99.8044667782333"
"Italy","2001","Female","15-24 year olds","Percent","99.8201059688277"
"Italy","2001","All genders","15-24 year olds","Percent","99.8121315051286"
"Italy","1981","All genders","15-24 year olds","Percent","99.6433812112087"
"Italy","1981","Female","15-24 year olds","Percent","99.5874894250906"
"Italy","1981","Male","15-24 year olds","Percent","99.6975876594355"
"Jamaica","2012","Male","15-24 year olds","Percent","93.25038"
"Jamaica","2012","Female","15-24 year olds","Percent","98.58685"
"Jamaica","2012","All genders","15-24 year olds","Percent","95.87227"
"Jamaica","1999","All genders","15-24 year olds","Percent","91.6034103802023"
"Jamaica","1999","Male","15-24 year olds","Percent","87.3113910703898"
"Jamaica","1999","Female","15-24 year olds","Percent","96.2955234262433"
"Jordan","2012","Male","15-24 year olds","Percent","99.0020373942989"
"Jordan","2012","Female","15-24 year olds","Percent","99.2027341256787"
"Jordan","2012","All genders","15-24 year olds","Percent","99.1057201084786"
"Jordan","2011","All genders","15-24 year olds","Percent","99.1486845161199"
"Jordan","2011","Female","15-24 year olds","Percent","99.2532228360958"
"Jordan","2011","Male","15-24 year olds","Percent","99.0508261274941"
"Jordan","2010","Male","15-24 year olds","Percent","98.7587331985672"
"Jordan","2010","All genders","15-24 year olds","Percent","98.7623532039233"
"Jordan","2010","Female","15-24 year olds","Percent","98.7663507480222"
"Jordan","2007","Female","15-24 year olds","Percent","98.9465668232009"
"Jordan","2007","All genders","15-24 year olds","Percent","98.9493433395872"
"Jordan","2007","Male","15-24 year olds","Percent","98.9520404389101"
"Jordan","2005","Male","15-24 year olds","Percent","98.9309968977949"
"Jordan","2005","Female","15-24 year olds","Percent","99.0234818549303"
"Jordan","2005","All genders","15-24 year olds","Percent","98.9753874997275"
"Jordan","2003","All genders","15-24 year olds","Percent","99.132588141204"
"Jordan","2003","Female","15-24 year olds","Percent","98.9133115258245"
"Jordan","2003","Male","15-24 year olds","Percent","99.3287904599659"
"Jordan","1979","Male","15-24 year olds","Percent","95.7921446054606"
"Jordan","1979","All genders","15-24 year olds","Percent","90.5084859531272"
"Jordan","1979","Female","15-24 year olds","Percent","84.8327933813489"
"Kazakhstan","2009","Female","15-24 year olds","Percent","99.8651050593538"
"Kazakhstan","2009","All genders","15-24 year olds","Percent","99.8345124020463"
"Kazakhstan","2009","Male","15-24 year olds","Percent","99.8039097400598"
"Kazakhstan","1999","Male","15-24 year olds","Percent","99.8160251608646"
"Kazakhstan","1999","All genders","15-24 year olds","Percent","99.8451345550666"
"Kazakhstan","1999","Female","15-24 year olds","Percent","99.8747023028058"
"Kazakhstan","1989","All genders","15-24 year olds","Percent","99.7257180371388"
"Kazakhstan","1989","Male","15-24 year olds","Percent","99.6977119084399"
"Kazakhstan","1989","Female","15-24 year olds","Percent","99.7549903403311"
"Kenya","2007","Male","15-24 year olds","Percent","83.2054230170097"
"Kenya","2007","All genders","15-24 year olds","Percent","82.3904723149426"
"Kenya","2007","Female","15-24 year olds","Percent","81.6325718379368"
"Kenya","2000","All genders","15-24 year olds","Percent","92.5281758731042"
"Kenya","2000","Male","15-24 year olds","Percent","93.3095160766483"
"Kenya","2000","Female","15-24 year olds","Percent","91.9425511197663"
"Kuwait","2012","Female","15-24 year olds","Percent","98.8353125970933"
"Kuwait","2012","Male","15-24 year olds","Percent","98.7363832796564"
"Kuwait","2012","All genders","15-24 year olds","Percent","98.7822620508028"
"Kuwait","2008","All genders","15-24 year olds","Percent","98.6433509456829"
"Kuwait","2008","Male","15-24 year olds","Percent","98.5651566701829"
"Kuwait","2008","Female","15-24 year olds","Percent","98.7393674032519"
"Kuwait","2007","Male","15-24 year olds","Percent","98.3988402410395"
"Kuwait","2007","Female","15-24 year olds","Percent","98.5077927881165"
"Kuwait","2007","All genders","15-24 year olds","Percent","98.4472286258394"
"Kuwait","2006","All genders","15-24 year olds","Percent","98.5121665356158"
"Kuwait","2006","Male","15-24 year olds","Percent","98.5221804709444"
"Kuwait","2006","Female","15-24 year olds","Percent","98.4992702428806"
"Kuwait","2005","Female","15-24 year olds","Percent","99.7875928951668"
"Kuwait","2005","Male","15-24 year olds","Percent","99.6909701477163"
"Kuwait","2005","All genders","15-24 year olds","Percent","99.7333641671966"
"Kuwait","1995","All genders","15-24 year olds","Percent","92.0430628095037"
"Kuwait","1995","Male","15-24 year olds","Percent","93.7998850648107"
"Kuwait","1995","Female","15-24 year olds","Percent","90.184805274844"
"Kuwait","1985","Female","15-24 year olds","Percent","84.0937029037344"
"Kuwait","1985","Male","15-24 year olds","Percent","90.6923267177818"
"Kuwait","1985","All genders","15-24 year olds","Percent","87.4560602757643"
"Kuwait","1980","All genders","15-24 year olds","Percent","78.9754365269535"
"Kuwait","1980","Male","15-24 year olds","Percent","81.2881618684782"
"Kuwait","1980","Female","15-24 year olds","Percent","76.0303566440078"
"Kuwait","1975","Female","15-24 year olds","Percent","66.0107160253288"
"Kuwait","1975","Male","15-24 year olds","Percent","77.6922252010724"
"Kuwait","1975","All genders","15-24 year olds","Percent","72.2221588641159"
"Kyrgyzstan","2009","All genders","15-24 year olds","Percent","99.7518502175295"
"Kyrgyzstan","2009","Male","15-24 year olds","Percent","99.7046278310671"
"Kyrgyzstan","2009","Female","15-24 year olds","Percent","99.7995877039971"
"Kyrgyzstan","1999","Male","15-24 year olds","Percent","99.650775184647"
"Kyrgyzstan","1999","All genders","15-24 year olds","Percent","99.6956270342964"
"Kyrgyzstan","1999","Female","15-24 year olds","Percent","99.7412864444148"
"Lao Peoples Democratic Republic","2005","All genders","15-24 year olds","Percent","83.9310628385829"
"Lao Peoples Democratic Republic","2005","Male","15-24 year olds","Percent","89.1874908033342"
"Lao Peoples Democratic Republic","2005","Female","15-24 year olds","Percent","78.7398424717607"
"Lao Peoples Democratic Republic","2001","Male","15-24 year olds","Percent","82.5993260320135"
"Lao Peoples Democratic Republic","2001","All genders","15-24 year olds","Percent","78.4579851345922"
"Lao Peoples Democratic Republic","2001","Female","15-24 year olds","Percent","74.682430875576"
"Lao Peoples Democratic Republic","2000","Female","15-24 year olds","Percent","73.5605843597823"
"Lao Peoples Democratic Republic","2000","All genders","15-24 year olds","Percent","80.5985552115583"
"Lao Peoples Democratic Republic","2000","Male","15-24 year olds","Percent","88.0619684082625"
"Lao Peoples Democratic Republic","1995","Male","15-24 year olds","Percent","78.8157944935461"
"Lao Peoples Democratic Republic","1995","All genders","15-24 year olds","Percent","71.133633313126"
"Lao Peoples Democratic Republic","1995","Female","15-24 year olds","Percent","64.0543479789433"
"Latvia","2011","All genders","15-24 year olds","Percent","99.8354313116451"
"Latvia","2011","Male","15-24 year olds","Percent","99.8021887318732"
"Latvia","2011","Female","15-24 year olds","Percent","99.8701076992733"
"Latvia","2000","Female","15-24 year olds","Percent","99.7833080303101"
"Latvia","2000","Male","15-24 year olds","Percent","99.7181818181818"
"Latvia","2000","All genders","15-24 year olds","Percent","99.7502643968622"
"Latvia","1989","Male","15-24 year olds","Percent","99.7500511974963"
"Latvia","1989","Female","15-24 year olds","Percent","99.8209165058077"
"Latvia","1989","All genders","15-24 year olds","Percent","99.7844110526529"
"Lebanon","2007","Male","15-24 year olds","Percent","98.3960577181486"
"Lebanon","2007","Female","15-24 year olds","Percent","99.0822981875389"
"Lebanon","2007","All genders","15-24 year olds","Percent","98.714788854215"
"Lesotho","2009","All genders","15-24 year olds","Percent","83.1944104323841"
"Lesotho","2009","Female","15-24 year olds","Percent","92.093894801161"
"Lesotho","2009","Male","15-24 year olds","Percent","74.1850280214274"
"Lesotho","2000","Male","15-24 year olds","Percent","84.8255813953488"
"Lesotho","2000","Female","15-24 year olds","Percent","97.4960876369327"
"Lesotho","2000","All genders","15-24 year olds","Percent","90.9269027882442"
"Liberia","2007","All genders","15-24 year olds","Percent","49.0741093023888"
"Liberia","2007","Female","15-24 year olds","Percent","37.1703074701604"
"Liberia","2007","Male","15-24 year olds","Percent","63.4510233713456"
"Liberia","2004","Male","15-24 year olds","Percent","63.0036"
"Liberia","2004","Female","15-24 year olds","Percent","35.03327"
"Liberia","2004","All genders","15-24 year olds","Percent","49.15212"
"Liberia","1994","All genders","15-24 year olds","Percent","59.98444"
"Liberia","1994","Female","15-24 year olds","Percent","54.1893"
"Liberia","1994","Male","15-24 year olds","Percent","65.76042"
"Liberia","1984","Male","15-24 year olds","Percent","62.8272896716995"
"Liberia","1984","All genders","15-24 year olds","Percent","47.6337935894082"
"Liberia","1984","Female","15-24 year olds","Percent","33.7245572774425"
"Libyan Arab Jamahiriya","2012","All genders","15-24 year olds","Percent","99.91581"
"Libyan Arab Jamahiriya","2012","Male","15-24 year olds","Percent","99.94915"
"Libyan Arab Jamahiriya","2012","Female","15-24 year olds","Percent","99.88217"
"Libyan Arab Jamahiriya","2004","Male","15-24 year olds","Percent","99.84897"
"Libyan Arab Jamahiriya","2004","All genders","15-24 year olds","Percent","99.64939"
"Libyan Arab Jamahiriya","2004","Female","15-24 year olds","Percent","99.4417"
"Libyan Arab Jamahiriya","1994","Female","15-24 year olds","Percent","80.3106"
"Libyan Arab Jamahiriya","1994","All genders","15-24 year olds","Percent","89.3379"
"Libyan Arab Jamahiriya","1994","Male","15-24 year olds","Percent","97.85204"
"Libyan Arab Jamahiriya","1984","Male","15-24 year olds","Percent","97.8520369001318"
"Libyan Arab Jamahiriya","1984","Female","15-24 year olds","Percent","80.310601784532"
"Libyan Arab Jamahiriya","1984","All genders","15-24 year olds","Percent","89.3379006378114"
"Lithuania","2011","Male","15-24 year olds","Percent","99.8454706122264"
"Lithuania","2011","Female","15-24 year olds","Percent","99.8666217325884"
"Lithuania","2011","All genders","15-24 year olds","Percent","99.8558012189665"
"Lithuania","2001","Female","15-24 year olds","Percent","99.7423827351523"
"Lithuania","2001","Male","15-24 year olds","Percent","99.6622209565396"
"Lithuania","2001","All genders","15-24 year olds","Percent","99.7016664490272"
"Lithuania","1989","Male","15-24 year olds","Percent","99.6411777121878"
"Lithuania","1989","Female","15-24 year olds","Percent","99.7084655558135"
"Lithuania","1989","All genders","15-24 year olds","Percent","99.6737601816092"
"Macao Special Administrative Region of China","2011","Male","15-24 year olds","Percent","99.6549716429819"
"Macao Special Administrative Region of China","2011","Female","15-24 year olds","Percent","99.6900826446281"
"Macao Special Administrative Region of China","2011","All genders","15-24 year olds","Percent","99.6729026199445"
"Macao Special Administrative Region of China","2006","Female","15-24 year olds","Percent","99.6996552380549"
"Macao Special Administrative Region of China","2006","Male","15-24 year olds","Percent","99.5869935754556"
"Macao Special Administrative Region of China","2006","All genders","15-24 year olds","Percent","99.6442428606743"
"Macao Special Administrative Region of China","2001","All genders","15-24 year olds","Percent","99.6335417115758"
"Macao Special Administrative Region of China","2001","Male","15-24 year olds","Percent","99.4300861497681"
"Macao Special Administrative Region of China","2001","Female","15-24 year olds","Percent","99.8101593510901"
"Macao Special Administrative Region of China","1981","Female","15-24 year olds","Percent","94.2051232850427"
"Macao Special Administrative Region of China","1981","Male","15-24 year olds","Percent","95.1423856471882"
"Macao Special Administrative Region of China","1981","All genders","15-24 year olds","Percent","94.7031183255019"
"Madagascar","2009","All genders","15-24 year olds","Percent","64.9402486686136"
"Madagascar","2009","Male","15-24 year olds","Percent","65.9147839378078"
"Madagascar","2009","Female","15-24 year olds","Percent","63.9670835758523"
"Madagascar","2000","Female","15-24 year olds","Percent","68.1862269641125"
"Madagascar","2000","Male","15-24 year olds","Percent","72.6544622425629"
"Madagascar","2000","All genders","15-24 year olds","Percent","70.2362204724409"
"Malawi","2010","All genders","15-24 year olds","Percent","72.1395643813808"
"Malawi","2010","Female","15-24 year olds","Percent","69.9817353723018"
"Malawi","2010","Male","15-24 year olds","Percent","74.2692542848695"
"Malawi","1998","Female","15-24 year olds","Percent","70.7007200226813"
"Malawi","1998","Male","15-24 year olds","Percent","82.0912292069703"
"Malawi","1998","All genders","15-24 year olds","Percent","76.0075007402046"
"Malawi","1987","All genders","15-24 year olds","Percent","59.0176852722158"
"Malawi","1987","Female","15-24 year olds","Percent","49.1280725186888"
"Malawi","1987","Male","15-24 year olds","Percent","70.4406530341332"
"Malaysia","2010","Female","15-24 year olds","Percent","98.4582626868026"
"Malaysia","2010","Male","15-24 year olds","Percent","98.3810382390504"
"Malaysia","2010","All genders","15-24 year olds","Percent","98.4187138102841"
"Malaysia","2000","All genders","15-24 year olds","Percent","97.2378015153939"
"Malaysia","2000","Female","15-24 year olds","Percent","97.2677203295909"
"Malaysia","2000","Male","15-24 year olds","Percent","97.2081430435005"
"Malaysia","1991","Male","15-24 year olds","Percent","95.9064384711972"
"Malaysia","1991","Female","15-24 year olds","Percent","95.2221443271544"
"Malaysia","1991","All genders","15-24 year olds","Percent","95.5638811137976"
"Malaysia","1980","All genders","15-24 year olds","Percent","87.9686351384465"
"Malaysia","1980","Male","15-24 year olds","Percent","89.495914964883"
"Malaysia","1980","Female","15-24 year olds","Percent","86.5314829275218"
"Maldives","2006","Male","15-24 year olds","Percent","99.2402185065025"
"Maldives","2006","All genders","15-24 year olds","Percent","99.3010066054189"
"Maldives","2006","Female","15-24 year olds","Percent","99.3606486015888"
"Maldives","2000","All genders","15-24 year olds","Percent","98.1701231008096"
"Maldives","2000","Female","15-24 year olds","Percent","98.2986440970723"
"Maldives","2000","Male","15-24 year olds","Percent","98.0343868290236"
"Maldives","1995","Male","15-24 year olds","Percent","98.0343868290236"
"Maldives","1995","Female","15-24 year olds","Percent","98.2986440970723"
"Maldives","1995","All genders","15-24 year olds","Percent","98.1701231008096"
"Maldives","1990","Female","15-24 year olds","Percent","98.3154815269193"
"Maldives","1990","All genders","15-24 year olds","Percent","98.1996171460418"
"Maldives","1990","Male","15-24 year olds","Percent","98.0773062363021"
"Maldives","1985","Male","15-24 year olds","Percent","94.8872100446904"
"Maldives","1985","All genders","15-24 year olds","Percent","95.5361859482303"
"Maldives","1985","Female","15-24 year olds","Percent","96.1760386067982"
"Maldives","1977","Female","15-24 year olds","Percent","87.119284727775"
"Maldives","1977","All genders","15-24 year olds","Percent","85.608975511525"
"Maldives","1977","Male","15-24 year olds","Percent","84.1303729006547"
"Mali","2011","Male","15-24 year olds","Percent","56.3150224073989"
"Mali","2011","Female","15-24 year olds","Percent","39.0085647064658"
"Mali","2011","All genders","15-24 year olds","Percent","47.1369799915241"
"Mali","2010","All genders","15-24 year olds","Percent","44.3017093410288"
"Mali","2010","Male","15-24 year olds","Percent","56.3712713000384"
"Mali","2010","Female","15-24 year olds","Percent","33.9457087308327"
"Mali","2006","Female","15-24 year olds","Percent","30.7984551073306"
"Mali","2006","Male","15-24 year olds","Percent","47.3799663179867"
"Mali","2006","All genders","15-24 year olds","Percent","38.8161205716805"
"Mali","2003","Female","15-24 year olds","Percent","23.91412"
"Mali","2003","All genders","15-24 year olds","Percent","30.54688"
"Mali","2003","Male","15-24 year olds","Percent","36.97091"
"Mali","1998","Male","15-24 year olds","Percent","32.2511811857084"
"Mali","1998","Female","15-24 year olds","Percent","16.860672853448"
"Mali","1998","All genders","15-24 year olds","Percent","24.1866656742311"
"Mali","1976","Female","15-24 year olds","Percent","13.4746528358708"
"Mali","1976","All genders","15-24 year olds","Percent","19.6462275909716"
"Mali","1976","Male","15-24 year olds","Percent","26.6656264034039"
"Malta","2005","Male","15-24 year olds","Percent","97.4597627767884"
"Malta","2005","All genders","15-24 year olds","Percent","98.2650303791804"
"Malta","2005","Female","15-24 year olds","Percent","99.1107347025196"
"Malta","1995","Female","15-24 year olds","Percent","97.8065283664213"
"Malta","1995","All genders","15-24 year olds","Percent","96.0322749130991"
"Malta","1995","Male","15-24 year olds","Percent","94.3650655021834"
"Malta","1985","Male","15-24 year olds","Percent","97.4337623012869"
"Malta","1985","Female","15-24 year olds","Percent","99.0451599020953"
"Malta","1985","All genders","15-24 year olds","Percent","98.2137509927222"
"Martinique","2012","All genders","15-24 year olds","Percent","99.8789"
"Martinique","2012","Female","15-24 year olds","Percent","99.81943"
"Martinique","2012","Male","15-24 year olds","Percent","99.93907"
"Martinique","2004","Male","15-24 year olds","Percent","99.70686"
"Martinique","2004","Female","15-24 year olds","Percent","99.33742"
"Martinique","2004","All genders","15-24 year olds","Percent","99.52312"
"Martinique","1994","All genders","15-24 year olds","Percent","99.53008"
"Martinique","1994","Female","15-24 year olds","Percent","99.34595"
"Martinique","1994","Male","15-24 year olds","Percent","99.71271"
"Martinique","1982","Male","15-24 year olds","Percent","99.2089331360151"
"Martinique","1982","Female","15-24 year olds","Percent","98.5362506670733"
"Martinique","1982","All genders","15-24 year olds","Percent","98.8629829055361"
"Mauritania","2007","All genders","15-24 year olds","Percent","56.122434719092"
"Mauritania","2007","Female","15-24 year olds","Percent","47.7123917267643"
"Mauritania","2007","Male","15-24 year olds","Percent","66.3998807537358"
"Mauritania","2000","Male","15-24 year olds","Percent","67.7326544040805"
"Mauritania","2000","Female","15-24 year olds","Percent","55.4837110091382"
"Mauritania","2000","All genders","15-24 year olds","Percent","61.336645972944"
"Mauritius","2011","Female","15-24 year olds","Percent","98.5759245511862"
"Mauritius","2011","All genders","15-24 year olds","Percent","98.130354941242"
"Mauritius","2011","Male","15-24 year olds","Percent","97.6891539321655"
"Mauritius","2000","Male","15-24 year olds","Percent","93.7218383899069"
"Mauritius","2000","Female","15-24 year olds","Percent","95.3618968386023"
"Mauritius","2000","All genders","15-24 year olds","Percent","94.5389629964579"
"Mauritius","1990","All genders","15-24 year olds","Percent","91.1919926295339"
"Mauritius","1990","Male","15-24 year olds","Percent","90.6955682869687"
"Mauritius","1990","Female","15-24 year olds","Percent","91.7059003362886"
"MDG_Caribbean","2014","Male","15-24 year olds","Percent","91.197256626618"
"MDG_Caribbean","2014","All genders","15-24 year olds","Percent","90.9311470231925"
"MDG_Caribbean","2014","Female","15-24 year olds","Percent","90.7175680599748"
"MDG_Caribbean","2012","Male","15-24 year olds","Percent","91.197256626618"
"MDG_Caribbean","2012","Female","15-24 year olds","Percent","90.7175680599748"
"MDG_Caribbean","2012","All genders","15-24 year olds","Percent","90.9311470231925"
"MDG_Caribbean","2011","All genders","15-24 year olds","Percent","90.9311470231925"
"MDG_Caribbean","2011","Female","15-24 year olds","Percent","90.7175680599748"
"MDG_Caribbean","2011","Male","15-24 year olds","Percent","91.197256626618"
"MDG_Caribbean","2010","Male","15-24 year olds","Percent","91.197256626618"
"MDG_Caribbean","2010","Female","15-24 year olds","Percent","90.7175680599748"
"MDG_Caribbean","2010","All genders","15-24 year olds","Percent","90.9311470231925"
"MDG_Caribbean","2009","Female","15-24 year olds","Percent","90.7175680599748"
"MDG_Caribbean","2009","Male","15-24 year olds","Percent","91.197256626618"
"MDG_Caribbean","2009","All genders","15-24 year olds","Percent","90.9311470231925"
"MDG_Caribbean","2008","Male","15-24 year olds","Percent","91.197256626618"
"MDG_Caribbean","2008","All genders","15-24 year olds","Percent","90.9311470231925"
"MDG_Caribbean","2008","Female","15-24 year olds","Percent","90.7175680599748"
"MDG_Caribbean","2007","Female","15-24 year olds","Percent","90.7175680599748"
"MDG_Caribbean","2007","All genders","15-24 year olds","Percent","90.9311470231925"
"MDG_Caribbean","2007","Male","15-24 year olds","Percent","91.197256626618"
"MDG_Caribbean","2006","Male","15-24 year olds","Percent","91.197256626618"
"MDG_Caribbean","2006","All genders","15-24 year olds","Percent","90.9311470231925"
"MDG_Caribbean","2006","Female","15-24 year olds","Percent","90.7175680599748"
"MDG_Caribbean","2005","Male","15-24 year olds","Percent","91.197256626618"
"MDG_Caribbean","2005","All genders","15-24 year olds","Percent","90.9311470231925"
"MDG_Caribbean","2005","Female","15-24 year olds","Percent","90.7175680599748"
"MDG_Caribbean","2004","Male","15-24 year olds","Percent","91.2816227485309"
"MDG_Caribbean","2004","Female","15-24 year olds","Percent","91.9770362523957"
"MDG_Caribbean","2004","All genders","15-24 year olds","Percent","91.5983780107184"
"MDG_Caribbean","2003","All genders","15-24 year olds","Percent","91.5983780107184"
"MDG_Caribbean","2003","Male","15-24 year olds","Percent","91.2816227485309"
"MDG_Caribbean","2003","Female","15-24 year olds","Percent","91.9770362523957"
"MDG_Caribbean","2002","Female","15-24 year olds","Percent","91.9770362523957"
"MDG_Caribbean","2002","Male","15-24 year olds","Percent","91.2816227485309"
"MDG_Caribbean","2002","All genders","15-24 year olds","Percent","91.5983780107184"
"MDG_Caribbean","2001","All genders","15-24 year olds","Percent","91.5983780107184"
"MDG_Caribbean","2001","Male","15-24 year olds","Percent","91.2816227485309"
"MDG_Caribbean","2001","Female","15-24 year olds","Percent","91.9770362523957"
"MDG_Caribbean","2000","Female","15-24 year olds","Percent","91.9770362523957"
"MDG_Caribbean","2000","Male","15-24 year olds","Percent","91.2816227485309"
"MDG_Caribbean","2000","All genders","15-24 year olds","Percent","91.5983780107184"
"MDG_Caribbean","1999","Female","15-24 year olds","Percent","91.9770362523957"
"MDG_Caribbean","1999","Male","15-24 year olds","Percent","91.2816227485309"
"MDG_Caribbean","1999","All genders","15-24 year olds","Percent","91.5983780107184"
"MDG_Caribbean","1998","Male","15-24 year olds","Percent","91.2816227485309"
"MDG_Caribbean","1998","Female","15-24 year olds","Percent","91.9770362523957"
"MDG_Caribbean","1998","All genders","15-24 year olds","Percent","91.5983780107184"
"MDG_Caribbean","1997","All genders","15-24 year olds","Percent","91.5983780107184"
"MDG_Caribbean","1997","Female","15-24 year olds","Percent","91.9770362523957"
"MDG_Caribbean","1997","Male","15-24 year olds","Percent","91.2816227485309"
"MDG_Caribbean","1996","Female","15-24 year olds","Percent","91.9770362523957"
"MDG_Caribbean","1996","Male","15-24 year olds","Percent","91.2816227485309"
"MDG_Caribbean","1996","All genders","15-24 year olds","Percent","91.5983780107184"
"MDG_Caribbean","1995","Male","15-24 year olds","Percent","91.2816227485309"
"MDG_Caribbean","1995","Female","15-24 year olds","Percent","91.9770362523957"
"MDG_Caribbean","1995","All genders","15-24 year olds","Percent","91.5983780107184"
"MDG_Caucasus and Central Asia","2014","All genders","15-24 year olds","Percent","99.8804272632505"
"MDG_Caucasus and Central Asia","2014","Male","15-24 year olds","Percent","99.8446056859042"
"MDG_Caucasus and Central Asia","2014","Female","15-24 year olds","Percent","99.9172182765051"
"MDG_Caucasus and Central Asia","2012","Female","15-24 year olds","Percent","99.9172182765051"
"MDG_Caucasus and Central Asia","2012","Male","15-24 year olds","Percent","99.8446056859042"
"MDG_Caucasus and Central Asia","2012","All genders","15-24 year olds","Percent","99.8804272632505"
"MDG_Caucasus and Central Asia","2011","All genders","15-24 year olds","Percent","99.8804272632505"
"MDG_Caucasus and Central Asia","2011","Male","15-24 year olds","Percent","99.8446056859042"
"MDG_Caucasus and Central Asia","2011","Female","15-24 year olds","Percent","99.9172182765051"
"MDG_Caucasus and Central Asia","2010","Female","15-24 year olds","Percent","99.9172182765051"
"MDG_Caucasus and Central Asia","2010","Male","15-24 year olds","Percent","99.8446056859042"
"MDG_Caucasus and Central Asia","2010","All genders","15-24 year olds","Percent","99.8804272632505"
"MDG_Caucasus and Central Asia","2009","All genders","15-24 year olds","Percent","99.8804272632505"
"MDG_Caucasus and Central Asia","2009","Male","15-24 year olds","Percent","99.8446056859042"
"MDG_Caucasus and Central Asia","2009","Female","15-24 year olds","Percent","99.9172182765051"
"MDG_Caucasus and Central Asia","2008","Female","15-24 year olds","Percent","99.9172182765051"
"MDG_Caucasus and Central Asia","2008","Male","15-24 year olds","Percent","99.8446056859042"
"MDG_Caucasus and Central Asia","2008","All genders","15-24 year olds","Percent","99.8804272632505"
"MDG_Caucasus and Central Asia","2007","All genders","15-24 year olds","Percent","99.8804272632505"
"MDG_Caucasus and Central Asia","2007","Male","15-24 year olds","Percent","99.8446056859042"
"MDG_Caucasus and Central Asia","2007","Female","15-24 year olds","Percent","99.9172182765051"
"MDG_Caucasus and Central Asia","2006","Female","15-24 year olds","Percent","99.9172182765051"
"MDG_Caucasus and Central Asia","2006","Male","15-24 year olds","Percent","99.8446056859042"
"MDG_Caucasus and Central Asia","2006","All genders","15-24 year olds","Percent","99.8804272632505"
"MDG_Caucasus and Central Asia","2005","All genders","15-24 year olds","Percent","99.8804272632505"
"MDG_Caucasus and Central Asia","2005","Male","15-24 year olds","Percent","99.8446056859042"
"MDG_Caucasus and Central Asia","2005","Female","15-24 year olds","Percent","99.9172182765051"
"MDG_Caucasus and Central Asia","2004","Male","15-24 year olds","Percent","99.8222024779718"
"MDG_Caucasus and Central Asia","2004","All genders","15-24 year olds","Percent","99.8453346082708"
