"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Djibouti","2001","Not applicable","Not applicable","Percent","7.80543"
"Djibouti","2000","Not applicable","Not applicable","Percent","9.66"
"Djibouti","1999","Not applicable","Not applicable","Percent","7.62948"
"Dominica","1999","Not applicable","Not applicable","Percent","4.99184"
"Dominica","1998","Not applicable","Not applicable","Percent","7.16059"
"Dominica","1989","Not applicable","Not applicable","Percent","5.17833"
"Dominican Republic","2013","Not applicable","Not applicable","Percent","3.7762"
"Dominican Republic","2007","Not applicable","Not applicable","Percent","2.18813"
"Dominican Republic","2003","Not applicable","Not applicable","Percent","1.87636"
"Dominican Republic","2002","Not applicable","Not applicable","Percent","1.97101"
"Dominican Republic","2001","Not applicable","Not applicable","Percent","2.0237"
"Dominican Republic","2000","Not applicable","Not applicable","Percent","1.91261"
"Dominican Republic","1996","Not applicable","Not applicable","Percent","1.23468"
"Dominican Republic","1995","Not applicable","Not applicable","Percent","1.04848"
"Dominican Republic","1994","Not applicable","Not applicable","Percent","0.90279"
"Dominican Republic","1993","Not applicable","Not applicable","Percent","0.78019"
"Dominican Republic","1985","Not applicable","Not applicable","Percent","1.21019"
"Dominican Republic","1984","Not applicable","Not applicable","Percent","1.49779"
"Dominican Republic","1983","Not applicable","Not applicable","Percent","1.56546"
"Dominican Republic","1982","Not applicable","Not applicable","Percent","1.59754"
"Ecuador","2012","Not applicable","Not applicable","Percent","4.35826"
"Ecuador","2011","Not applicable","Not applicable","Percent","4.45544"
"Ecuador","2010","Not applicable","Not applicable","Percent","4.19899"
"Ecuador","2000","Not applicable","Not applicable","Percent","1.15093"
"Ecuador","1999","Not applicable","Not applicable","Percent","1.54734"
"Ecuador","1998","Not applicable","Not applicable","Percent","2.19537"
"Ecuador","1995","Not applicable","Not applicable","Percent","1.99764"
"Ecuador","1986","Not applicable","Not applicable","Percent","6.87238"
"Ecuador","1985","Not applicable","Not applicable","Percent","5.23335"
"Ecuador","1984","Not applicable","Not applicable","Percent","4.20342"
"Ecuador","1977","Not applicable","Not applicable","Percent","2.41884"
"Egypt","2008","Not applicable","Not applicable","Percent","3.76083"
"Egypt","2007","Not applicable","Not applicable","Percent","3.68461"
"Egypt","2006","Not applicable","Not applicable","Percent","4.00178"
"Egypt","2005","Not applicable","Not applicable","Percent","4.79443"
"Egypt","2004","Not applicable","Not applicable","Percent","4.67072"
"Egypt","2003","Not applicable","Not applicable","Percent","4.94563"
"Egypt","1996","Not applicable","Not applicable","Percent","4.67157"
"Egypt","1995","Not applicable","Not applicable","Percent","4.604"
"Egypt","1994","Not applicable","Not applicable","Percent","4.58376"
"Egypt","1993","Not applicable","Not applicable","Percent","4.1977"
"Egypt","1992","Not applicable","Not applicable","Percent","4.09639"
"Egypt","1989","Not applicable","Not applicable","Percent","4.59159"
"Egypt","1988","Not applicable","Not applicable","Percent","4.51937"
"Egypt","1983","Not applicable","Not applicable","Percent","5.64235"
"Egypt","1982","Not applicable","Not applicable","Percent","5.30415"
"Egypt","1980","Not applicable","Not applicable","Percent","4.2498"
"Egypt","1978","Not applicable","Not applicable","Percent","4.86171"
"Egypt","1977","Not applicable","Not applicable","Percent","4.53443"
"Egypt","1976","Not applicable","Not applicable","Percent","5.02737"
"Egypt","1975","Not applicable","Not applicable","Percent","5.00846"
"El Salvador","2011","Not applicable","Not applicable","Percent","3.41749"
"El Salvador","2010","Not applicable","Not applicable","Percent","3.48668"
"El Salvador","2009","Not applicable","Not applicable","Percent","3.96954"
"El Salvador","2008","Not applicable","Not applicable","Percent","3.74166"
"El Salvador","2007","Not applicable","Not applicable","Percent","3.05447"
"El Salvador","2006","Not applicable","Not applicable","Percent","3.01268"
"El Salvador","2005","Not applicable","Not applicable","Percent","2.73246"
"El Salvador","2003","Not applicable","Not applicable","Percent","2.75909"
"El Salvador","2002","Not applicable","Not applicable","Percent","2.87054"
"El Salvador","2000","Not applicable","Not applicable","Percent","2.54708"
"El Salvador","1999","Not applicable","Not applicable","Percent","2.31992"
"El Salvador","1998","Not applicable","Not applicable","Percent","2.31992"
"El Salvador","1975","Not applicable","Not applicable","Percent","0.90451"
"Equatorial Guinea","2002","Not applicable","Not applicable","Percent","0.71648"
"Equatorial Guinea","2001","Not applicable","Not applicable","Percent","0.68942"
"Equatorial Guinea","2000","Not applicable","Not applicable","Percent","0.80486"
"Equatorial Guinea","1998","Not applicable","Not applicable","Percent","2.18798"
"Eritrea","2006","Not applicable","Not applicable","Percent","2.127"
"Eritrea","2004","Not applicable","Not applicable","Percent","3.14897"
"Eritrea","2003","Not applicable","Not applicable","Percent","3.47863"
"Eritrea","2002","Not applicable","Not applicable","Percent","3.5239"
"Eritrea","2001","Not applicable","Not applicable","Percent","4.04716"
"Eritrea","1999","Not applicable","Not applicable","Percent","5.26281"
"Eritrea","1998","Not applicable","Not applicable","Percent","4.62058"
"Eritrea","1996","Not applicable","Not applicable","Percent","1.63855"
"Estonia","2011","Not applicable","Not applicable","Percent","5.15699"
"Estonia","2010","Not applicable","Not applicable","Percent","5.65984"
"Estonia","2009","Not applicable","Not applicable","Percent","6.02922"
"Estonia","2008","Not applicable","Not applicable","Percent","5.61342"
"Estonia","2007","Not applicable","Not applicable","Percent","4.71534"
"Estonia","2005","Not applicable","Not applicable","Percent","4.87976"
"Estonia","2004","Not applicable","Not applicable","Percent","4.92316"
"Estonia","2003","Not applicable","Not applicable","Percent","5.28854"
"Estonia","2002","Not applicable","Not applicable","Percent","5.46695"
"Estonia","2001","Not applicable","Not applicable","Percent","5.24061"
"Estonia","2000","Not applicable","Not applicable","Percent","5.34969"
"Estonia","1999","Not applicable","Not applicable","Percent","6.7126"
"Estonia","1998","Not applicable","Not applicable","Percent","6.31979"
"Estonia","1997","Not applicable","Not applicable","Percent","6.46845"
"Estonia","1996","Not applicable","Not applicable","Percent","6.12539"
"Estonia","1995","Not applicable","Not applicable","Percent","6.09961"
"Estonia","1994","Not applicable","Not applicable","Percent","5.68362"
"Estonia","1993","Not applicable","Not applicable","Percent","5.89459"
"Ethiopia","2010","Not applicable","Not applicable","Percent","4.73791"
"Ethiopia","2009","Not applicable","Not applicable","Percent","4.61708"
"Ethiopia","2008","Not applicable","Not applicable","Percent","5.50911"
"Ethiopia","2007","Not applicable","Not applicable","Percent","5.55284"
"Ethiopia","2006","Not applicable","Not applicable","Percent","5.59339"
"Ethiopia","2002","Not applicable","Not applicable","Percent","3.70022"
"Ethiopia","2001","Not applicable","Not applicable","Percent","3.76933"
"Ethiopia","2000","Not applicable","Not applicable","Percent","4.05741"
"Ethiopia","1997","Not applicable","Not applicable","Percent","2.80939"
"Ethiopia","1996","Not applicable","Not applicable","Percent","2.82637"
"Ethiopia","1993","Not applicable","Not applicable","Percent","2.39811"
"Ethiopia","1986","Not applicable","Not applicable","Percent","2.17781"
"Ethiopia","1985","Not applicable","Not applicable","Percent","2.38115"
"Ethiopia","1984","Not applicable","Not applicable","Percent","2.15141"
"Ethiopia","1983","Not applicable","Not applicable","Percent","2.345"
"Ethiopia","1982","Not applicable","Not applicable","Percent","2.15175"
"Fiji","2011","Not applicable","Not applicable","Percent","4.19646"
"Fiji","2009","Not applicable","Not applicable","Percent","4.4141"
"Fiji","2008","Not applicable","Not applicable","Percent","4.12848"
"Fiji","2007","Not applicable","Not applicable","Percent","5.84843"
"Fiji","2006","Not applicable","Not applicable","Percent","5.60714"
"Fiji","2005","Not applicable","Not applicable","Percent","5.12197"
"Fiji","2004","Not applicable","Not applicable","Percent","6.16493"
"Fiji","2002","Not applicable","Not applicable","Percent","6.24382"
"Fiji","2001","Not applicable","Not applicable","Percent","5.61714"
"Fiji","2000","Not applicable","Not applicable","Percent","5.85725"
"Fiji","1999","Not applicable","Not applicable","Percent","5.15351"
"Fiji","1998","Not applicable","Not applicable","Percent","5.51262"
"Fiji","1989","Not applicable","Not applicable","Percent","4.8311"
"Fiji","1983","Not applicable","Not applicable","Percent","6.48669"
"Fiji","1981","Not applicable","Not applicable","Percent","5.82011"
"Fiji","1979","Not applicable","Not applicable","Percent","5.19761"
"Finland","2011","Not applicable","Not applicable","Percent","6.76105"
"Finland","2010","Not applicable","Not applicable","Percent","6.84725"
"Finland","2009","Not applicable","Not applicable","Percent","6.81301"
"Finland","2008","Not applicable","Not applicable","Percent","6.09998"
"Finland","2007","Not applicable","Not applicable","Percent","5.89965"
"Finland","2006","Not applicable","Not applicable","Percent","6.18345"
"Finland","2005","Not applicable","Not applicable","Percent","6.30284"
"Finland","2004","Not applicable","Not applicable","Percent","6.42011"
"Finland","2003","Not applicable","Not applicable","Percent","6.43096"
"Finland","2002","Not applicable","Not applicable","Percent","6.21951"
"Finland","2001","Not applicable","Not applicable","Percent","6.06415"
"Finland","2000","Not applicable","Not applicable","Percent","5.89272"
"Finland","1999","Not applicable","Not applicable","Percent","6.09044"
"Finland","1996","Not applicable","Not applicable","Percent","7.06323"
"Finland","1995","Not applicable","Not applicable","Percent","6.98607"
"Finland","1994","Not applicable","Not applicable","Percent","7.03896"
"Finland","1993","Not applicable","Not applicable","Percent","7.64723"
"Finland","1992","Not applicable","Not applicable","Percent","6.66025"
"Finland","1991","Not applicable","Not applicable","Percent","6.46257"
"Finland","1990","Not applicable","Not applicable","Percent","5.43711"
"Finland","1989","Not applicable","Not applicable","Percent","5.16889"
"Finland","1988","Not applicable","Not applicable","Percent","5.15566"
"Finland","1987","Not applicable","Not applicable","Percent","5.29027"
"Finland","1986","Not applicable","Not applicable","Percent","5.18585"
"Finland","1985","Not applicable","Not applicable","Percent","5.12765"
"Finland","1984","Not applicable","Not applicable","Percent","4.7684"
"Finland","1983","Not applicable","Not applicable","Percent","4.92209"
"Finland","1982","Not applicable","Not applicable","Percent","4.83612"
"Finland","1981","Not applicable","Not applicable","Percent","4.8947"
"Finland","1980","Not applicable","Not applicable","Percent","4.88379"
"Finland","1979","Not applicable","Not applicable","Percent","4.85461"
"Finland","1976","Not applicable","Not applicable","Percent","5.29121"
"Finland","1975","Not applicable","Not applicable","Percent","5.09378"
"France","2011","Not applicable","Not applicable","Percent","5.67538"
"France","2010","Not applicable","Not applicable","Percent","5.86466"
"France","2009","Not applicable","Not applicable","Percent","5.90055"
"France","2008","Not applicable","Not applicable","Percent","5.62047"
"France","2007","Not applicable","Not applicable","Percent","5.61511"
"France","2006","Not applicable","Not applicable","Percent","5.60903"
"France","2005","Not applicable","Not applicable","Percent","5.67246"
"France","2004","Not applicable","Not applicable","Percent","5.82493"
"France","2003","Not applicable","Not applicable","Percent","5.90148"
"France","2002","Not applicable","Not applicable","Percent","5.58912"
"France","2001","Not applicable","Not applicable","Percent","5.59479"
"France","2000","Not applicable","Not applicable","Percent","5.69186"
"France","1999","Not applicable","Not applicable","Percent","5.81524"
"France","1998","Not applicable","Not applicable","Percent","5.82049"
"France","1996","Not applicable","Not applicable","Percent","5.87715"
"France","1995","Not applicable","Not applicable","Percent","5.89768"
"France","1994","Not applicable","Not applicable","Percent","5.73326"
"France","1993","Not applicable","Not applicable","Percent","5.53765"
"France","1992","Not applicable","Not applicable","Percent","4.83368"
"France","1991","Not applicable","Not applicable","Percent","4.9341"
"France","1990","Not applicable","Not applicable","Percent","4.60471"
"France","1989","Not applicable","Not applicable","Percent","4.53695"
"France","1988","Not applicable","Not applicable","Percent","4.62502"
"France","1987","Not applicable","Not applicable","Percent","4.70543"
"France","1986","Not applicable","Not applicable","Percent","4.78834"
"France","1985","Not applicable","Not applicable","Percent","4.93775"
"France","1984","Not applicable","Not applicable","Percent","4.95149"
"France","1983","Not applicable","Not applicable","Percent","4.93633"
"France","1982","Not applicable","Not applicable","Percent","4.93887"
"France","1981","Not applicable","Not applicable","Percent","4.81148"
"France","1980","Not applicable","Not applicable","Percent","4.37612"
"France","1979","Not applicable","Not applicable","Percent","4.34436"
"France","1978","Not applicable","Not applicable","Percent","4.40284"
"France","1977","Not applicable","Not applicable","Percent","4.4887"
"France","1976","Not applicable","Not applicable","Percent","4.48555"
"France","1975","Not applicable","Not applicable","Percent","4.4937"
"French Polynesia","1993","Not applicable","Not applicable","Percent","0.52473"
"French Polynesia","1992","Not applicable","Not applicable","Percent","0.52117"
"French Polynesia","1991","Not applicable","Not applicable","Percent","0.40068"
"French Polynesia","1990","Not applicable","Not applicable","Percent","0.38259"
"French Polynesia","1989","Not applicable","Not applicable","Percent","0.35316"
"French Polynesia","1984","Not applicable","Not applicable","Percent","0.46971"
"French Polynesia","1975","Not applicable","Not applicable","Percent","0.38367"
"Gabon","2000","Not applicable","Not applicable","Percent","3.82709"
"Gabon","1999","Not applicable","Not applicable","Percent","3.08123"
"Gabon","1998","Not applicable","Not applicable","Percent","3.41966"
"Gabon","1992","Not applicable","Not applicable","Percent","2.80552"
"Gambia","2012","Not applicable","Not applicable","Percent","4.08286"
"Gambia","2011","Not applicable","Not applicable","Percent","3.92514"
"Gambia","2010","Not applicable","Not applicable","Percent","4.15611"
"Gambia","2009","Not applicable","Not applicable","Percent","3.07239"
"Gambia","2008","Not applicable","Not applicable","Percent","3.52742"
"Gambia","2007","Not applicable","Not applicable","Percent","1.30851"
"Gambia","2006","Not applicable","Not applicable","Percent","1.20949"
"Gambia","2005","Not applicable","Not applicable","Percent","1.13918"
"Gambia","2004","Not applicable","Not applicable","Percent","1.0345"
"Gambia","2003","Not applicable","Not applicable","Percent","1.36338"
"Gambia","2002","Not applicable","Not applicable","Percent","1.44292"
"Gambia","2001","Not applicable","Not applicable","Percent","1.1581"
"Gambia","2000","Not applicable","Not applicable","Percent","1.46587"
"Gambia","1999","Not applicable","Not applicable","Percent","1.56513"
"Gambia","1996","Not applicable","Not applicable","Percent","2.56628"
"Gambia","1995","Not applicable","Not applicable","Percent","2.55355"
"Gambia","1992","Not applicable","Not applicable","Percent","1.16984"
"Gambia","1991","Not applicable","Not applicable","Percent","3.78061"
"Gambia","1990","Not applicable","Not applicable","Percent","2.82584"
"Gambia","1989","Not applicable","Not applicable","Percent","2.97409"
"Gambia","1986","Not applicable","Not applicable","Percent","3.48473"
"Gambia","1985","Not applicable","Not applicable","Percent","4.29515"
"Georgia","2012","Not applicable","Not applicable","Percent","1.98331"
"Georgia","2011","Not applicable","Not applicable","Percent","2.69622"
"Georgia","2009","Not applicable","Not applicable","Percent","3.22238"
"Georgia","2008","Not applicable","Not applicable","Percent","2.91956"
"Georgia","2007","Not applicable","Not applicable","Percent","2.69687"
"Georgia","2006","Not applicable","Not applicable","Percent","3.00364"
"Georgia","2005","Not applicable","Not applicable","Percent","2.48431"
"Georgia","2004","Not applicable","Not applicable","Percent","2.9142"
"Georgia","2003","Not applicable","Not applicable","Percent","2.0656"
"Georgia","2002","Not applicable","Not applicable","Percent","2.23501"
"Georgia","2001","Not applicable","Not applicable","Percent","2.1375"
"Georgia","2000","Not applicable","Not applicable","Percent","2.18107"
"Georgia","1999","Not applicable","Not applicable","Percent","2.15513"
"Georgia","1998","Not applicable","Not applicable","Percent","2.10888"
"Georgia","1994","Not applicable","Not applicable","Percent","6.91566"
"Germany","2011","Not applicable","Not applicable","Percent","4.97953"
"Germany","2010","Not applicable","Not applicable","Percent","5.08119"
"Germany","2009","Not applicable","Not applicable","Percent","5.05743"
"Germany","2008","Not applicable","Not applicable","Percent","4.5663"
"Germany","2007","Not applicable","Not applicable","Percent","4.49455"
"Germany","2006","Not applicable","Not applicable","Percent","4.42605"
"Germany","1998","Not applicable","Not applicable","Percent","4.58646"
"Germany","1996","Not applicable","Not applicable","Percent","4.6059"
"Germany","1995","Not applicable","Not applicable","Percent","4.54128"
"Germany","1994","Not applicable","Not applicable","Percent","4.45185"
"Germany","1993","Not applicable","Not applicable","Percent","4.54817"
"Ghana","2011","Not applicable","Not applicable","Percent","8.14097"
"Ghana","2010","Not applicable","Not applicable","Percent","5.5406"
"Ghana","2009","Not applicable","Not applicable","Percent","5.31729"
"Ghana","2008","Not applicable","Not applicable","Percent","5.75796"
"Ghana","2007","Not applicable","Not applicable","Percent","5.51986"
"Ghana","2006","Not applicable","Not applicable","Percent","5.25996"
"Ghana","2005","Not applicable","Not applicable","Percent","7.42208"
"Ghana","2004","Not applicable","Not applicable","Percent","7.53558"
"Ghana","2001","Not applicable","Not applicable","Percent","5.35444"
"Ghana","1999","Not applicable","Not applicable","Percent","4.11037"
"Ghana","1988","Not applicable","Not applicable","Percent","3.18742"
"Ghana","1987","Not applicable","Not applicable","Percent","3.3067"
"Ghana","1986","Not applicable","Not applicable","Percent","3.35448"
"Ghana","1982","Not applicable","Not applicable","Percent","1.90454"
"Ghana","1981","Not applicable","Not applicable","Percent","1.80812"
"Ghana","1980","Not applicable","Not applicable","Percent","2.70777"
"Ghana","1979","Not applicable","Not applicable","Percent","2.31134"
"Ghana","1977","Not applicable","Not applicable","Percent","6.09509"
"Ghana","1976","Not applicable","Not applicable","Percent","5.82883"
"Ghana","1975","Not applicable","Not applicable","Percent","4.87644"
"Greece","2005","Not applicable","Not applicable","Percent","4.09111"
"Greece","2004","Not applicable","Not applicable","Percent","3.8696"
"Greece","2003","Not applicable","Not applicable","Percent","3.5907"
"Greece","2002","Not applicable","Not applicable","Percent","3.60675"
"Greece","2001","Not applicable","Not applicable","Percent","3.52912"
"Greece","2000","Not applicable","Not applicable","Percent","3.37858"
"Greece","1999","Not applicable","Not applicable","Percent","3.24036"
"Greece","1998","Not applicable","Not applicable","Percent","3.0883"
"Greece","1991","Not applicable","Not applicable","Percent","2.02853"
"Greece","1990","Not applicable","Not applicable","Percent","2.14572"
"Greece","1989","Not applicable","Not applicable","Percent","2.11361"
"Greece","1988","Not applicable","Not applicable","Percent","1.95995"
"Greece","1987","Not applicable","Not applicable","Percent","1.92353"
"Greece","1986","Not applicable","Not applicable","Percent","1.92265"
"Greece","1984","Not applicable","Not applicable","Percent","1.89817"
"Greece","1983","Not applicable","Not applicable","Percent","1.77092"
"Greece","1982","Not applicable","Not applicable","Percent","1.76899"
"Greece","1981","Not applicable","Not applicable","Percent","1.77523"
"Greece","1978","Not applicable","Not applicable","Percent","1.76779"
"Greece","1977","Not applicable","Not applicable","Percent","1.56647"
"Greece","1976","Not applicable","Not applicable","Percent","1.51877"
"Greece","1975","Not applicable","Not applicable","Percent","1.53199"
"Grenada","2003","Not applicable","Not applicable","Percent","3.89756"
"Guatemala","2013","Not applicable","Not applicable","Percent","2.84513"
"Guatemala","2012","Not applicable","Not applicable","Percent","2.95786"
"Guatemala","2011","Not applicable","Not applicable","Percent","2.92014"
"Guatemala","2010","Not applicable","Not applicable","Percent","2.80306"
"Guatemala","2008","Not applicable","Not applicable","Percent","3.18454"
"Guatemala","2007","Not applicable","Not applicable","Percent","3.03874"
"Guatemala","2006","Not applicable","Not applicable","Percent","2.98401"
"Guatemala","1996","Not applicable","Not applicable","Percent","1.5637"
"Guatemala","1995","Not applicable","Not applicable","Percent","1.6048"
"Guatemala","1994","Not applicable","Not applicable","Percent","1.43998"
"Guatemala","1993","Not applicable","Not applicable","Percent","1.66575"
"Guatemala","1976","Not applicable","Not applicable","Percent","1.62729"
"Guinea","2012","Not applicable","Not applicable","Percent","2.47139"
"Guinea","2011","Not applicable","Not applicable","Percent","3.06283"
"Guinea","2010","Not applicable","Not applicable","Percent","3.69186"
"Guinea","2009","Not applicable","Not applicable","Percent","3.21608"
"Guinea","2008","Not applicable","Not applicable","Percent","2.43837"
"Guinea","2005","Not applicable","Not applicable","Percent","1.84906"
"Guinea","2004","Not applicable","Not applicable","Percent","2.21"
"Guinea","2003","Not applicable","Not applicable","Percent","2.37102"
"Guinea","2002","Not applicable","Not applicable","Percent","2.59387"
"Guinea","2001","Not applicable","Not applicable","Percent","2.08191"
"Guinea","2000","Not applicable","Not applicable","Percent","2.5934"
"Guinea","1999","Not applicable","Not applicable","Percent","2.36142"
"Guinea","1993","Not applicable","Not applicable","Percent","2.08844"
"Guinea","1992","Not applicable","Not applicable","Percent","2.00632"
"Guinea","1991","Not applicable","Not applicable","Percent","2.01639"
"Guinea-Bissau","1999","Not applicable","Not applicable","Percent","5.24617"
"Guyana","2012","Not applicable","Not applicable","Percent","3.19404"
"Guyana","2011","Not applicable","Not applicable","Percent","3.59123"
"Guyana","2010","Not applicable","Not applicable","Percent","3.66099"
"Guyana","2009","Not applicable","Not applicable","Percent","3.36104"
"Guyana","2007","Not applicable","Not applicable","Percent","3.75228"
"Guyana","2006","Not applicable","Not applicable","Percent","5.08927"
"Guyana","2005","Not applicable","Not applicable","Percent","8.13973"
"Guyana","2004","Not applicable","Not applicable","Percent","5.52623"
"Guyana","2003","Not applicable","Not applicable","Percent","6.96654"
"Guyana","2002","Not applicable","Not applicable","Percent","8.40805"
"Guyana","2001","Not applicable","Not applicable","Percent","8.58889"
"Guyana","2000","Not applicable","Not applicable","Percent","8.48415"
"Guyana","1999","Not applicable","Not applicable","Percent","8.56106"
"Guyana","1995","Not applicable","Not applicable","Percent","3.60934"
"Guyana","1994","Not applicable","Not applicable","Percent","3.72445"
"Guyana","1984","Not applicable","Not applicable","Percent","7.22748"
"Guyana","1983","Not applicable","Not applicable","Percent","8.25347"
"Guyana","1979","Not applicable","Not applicable","Percent","9.37788"
"Guyana","1977","Not applicable","Not applicable","Percent","7.08873"
"Haiti","1991","Not applicable","Not applicable","Percent","1.07399"
"Holy See","2014","Not applicable","Not applicable","Percent","0"
"Holy See","2013","Not applicable","Not applicable","Percent","0"
"Holy See","2012","Not applicable","Not applicable","Percent","0"
"Holy See","2011","Not applicable","Not applicable","Percent","0"
"Holy See","2010","Not applicable","Not applicable","Percent","0"
"Holy See","2009","Not applicable","Not applicable","Percent","0"
"Holy See","2008","Not applicable","Not applicable","Percent","0"
"Holy See","2007","Not applicable","Not applicable","Percent","0"
"Holy See","2006","Not applicable","Not applicable","Percent","0"
"Holy See","2005","Not applicable","Not applicable","Percent","0"
"Holy See","2004","Not applicable","Not applicable","Percent","0"
"Holy See","2003","Not applicable","Not applicable","Percent","0"
"Holy See","2002","Not applicable","Not applicable","Percent","0"
"Holy See","2001","Not applicable","Not applicable","Percent","0"
"Holy See","2000","Not applicable","Not applicable","Percent","0"
"Holy See","1999","Not applicable","Not applicable","Percent","0"
"Holy See","1998","Not applicable","Not applicable","Percent","0"
"Holy See","1997","Not applicable","Not applicable","Percent","0"
"Holy See","1996","Not applicable","Not applicable","Percent","0"
"Holy See","1995","Not applicable","Not applicable","Percent","0"
"Holy See","1994","Not applicable","Not applicable","Percent","0"
"Holy See","1993","Not applicable","Not applicable","Percent","0"
"Holy See","1992","Not applicable","Not applicable","Percent","0"
"Holy See","1991","Not applicable","Not applicable","Percent","0"
"Holy See","1990","Not applicable","Not applicable","Percent","0"
"Holy See","1989","Not applicable","Not applicable","Percent","0"
"Holy See","1988","Not applicable","Not applicable","Percent","0"
"Holy See","1987","Not applicable","Not applicable","Percent","0"
"Holy See","1986","Not applicable","Not applicable","Percent","0"
"Holy See","1985","Not applicable","Not applicable","Percent","0"
"Holy See","1984","Not applicable","Not applicable","Percent","0"
"Holy See","1983","Not applicable","Not applicable","Percent","0"
"Holy See","1982","Not applicable","Not applicable","Percent","0"
"Holy See","1981","Not applicable","Not applicable","Percent","0"
"Holy See","1980","Not applicable","Not applicable","Percent","0"
"Holy See","1979","Not applicable","Not applicable","Percent","0"
"Holy See","1978","Not applicable","Not applicable","Percent","0"
"Holy See","1977","Not applicable","Not applicable","Percent","0"
"Holy See","1976","Not applicable","Not applicable","Percent","0"
"Holy See","1975","Not applicable","Not applicable","Percent","0"
"Honduras","1995","Not applicable","Not applicable","Percent","3.57875"
"Honduras","1994","Not applicable","Not applicable","Percent","3.39836"
"Honduras","1980","Not applicable","Not applicable","Percent","2.99447"
"Honduras","1979","Not applicable","Not applicable","Percent","3.16882"
"Honduras","1978","Not applicable","Not applicable","Percent","3.241"
"Hong Kong Special Administrative Region of China","2013","Not applicable","Not applicable","Percent","3.76033"
"Hong Kong Special Administrative Region of China","2012","Not applicable","Not applicable","Percent","3.50959"
"Hong Kong Special Administrative Region of China","2011","Not applicable","Not applicable","Percent","3.41823"
"Hong Kong Special Administrative Region of China","2010","Not applicable","Not applicable","Percent","3.51005"
"Hong Kong Special Administrative Region of China","2009","Not applicable","Not applicable","Percent","4.39213"
"Hong Kong Special Administrative Region of China","2008","Not applicable","Not applicable","Percent","3.2606"
"Hong Kong Special Administrative Region of China","2007","Not applicable","Not applicable","Percent","3.45456"
"Hong Kong Special Administrative Region of China","2006","Not applicable","Not applicable","Percent","3.84281"
"Hong Kong Special Administrative Region of China","2005","Not applicable","Not applicable","Percent","4.1346"
"Hong Kong Special Administrative Region of China","2004","Not applicable","Not applicable","Percent","4.55901"
"Hong Kong Special Administrative Region of China","2003","Not applicable","Not applicable","Percent","4.28533"
"Hong Kong Special Administrative Region of China","2002","Not applicable","Not applicable","Percent","4.01554"
"Hong Kong Special Administrative Region of China","2001","Not applicable","Not applicable","Percent","3.9037"
"Hong Kong Special Administrative Region of China","1996","Not applicable","Not applicable","Percent","2.72831"
"Hong Kong Special Administrative Region of China","1992","Not applicable","Not applicable","Percent","2.8282"
"Hong Kong Special Administrative Region of China","1990","Not applicable","Not applicable","Percent","2.46609"
"Hong Kong Special Administrative Region of China","1985","Not applicable","Not applicable","Percent","2.55897"
"Hong Kong Special Administrative Region of China","1984","Not applicable","Not applicable","Percent","2.58169"
"Hong Kong Special Administrative Region of China","1983","Not applicable","Not applicable","Percent","2.5786"
"Hong Kong Special Administrative Region of China","1982","Not applicable","Not applicable","Percent","1.66983"
"Hong Kong Special Administrative Region of China","1981","Not applicable","Not applicable","Percent","2.27173"
"Hong Kong Special Administrative Region of China","1980","Not applicable","Not applicable","Percent","2.19214"
"Hong Kong Special Administrative Region of China","1978","Not applicable","Not applicable","Percent","2.32255"
"Hong Kong Special Administrative Region of China","1977","Not applicable","Not applicable","Percent","2.21924"
"Hong Kong Special Administrative Region of China","1976","Not applicable","Not applicable","Percent","2.43336"
"Hong Kong Special Administrative Region of China","1975","Not applicable","Not applicable","Percent","2.4492"
"Hungary","2011","Not applicable","Not applicable","Percent","4.71225"
"Hungary","2010","Not applicable","Not applicable","Percent","4.89694"
"Hungary","2009","Not applicable","Not applicable","Percent","5.11969"
"Hungary","2008","Not applicable","Not applicable","Percent","5.09944"
"Hungary","2007","Not applicable","Not applicable","Percent","5.28906"
"Hungary","2006","Not applicable","Not applicable","Percent","5.43934"
"Hungary","2005","Not applicable","Not applicable","Percent","5.45942"
"Hungary","2004","Not applicable","Not applicable","Percent","5.44235"
"Hungary","2003","Not applicable","Not applicable","Percent","5.91341"
"Hungary","2002","Not applicable","Not applicable","Percent","5.27436"
"Hungary","2001","Not applicable","Not applicable","Percent","5.02726"
"Hungary","2000","Not applicable","Not applicable","Percent","4.95581"
"Hungary","1999","Not applicable","Not applicable","Percent","4.64451"
"Hungary","1998","Not applicable","Not applicable","Percent","4.47808"
"Hungary","1996","Not applicable","Not applicable","Percent","4.40346"
"Hungary","1995","Not applicable","Not applicable","Percent","4.93945"
"Hungary","1994","Not applicable","Not applicable","Percent","5.94558"
"Hungary","1993","Not applicable","Not applicable","Percent","6.03188"
"Hungary","1992","Not applicable","Not applicable","Percent","6.1949"
"Hungary","1991","Not applicable","Not applicable","Percent","5.99092"
"Hungary","1990","Not applicable","Not applicable","Percent","5.64712"
"Hungary","1989","Not applicable","Not applicable","Percent","5.26406"
"Hungary","1988","Not applicable","Not applicable","Percent","4.67555"
"Hungary","1987","Not applicable","Not applicable","Percent","4.83003"
"Hungary","1986","Not applicable","Not applicable","Percent","4.93929"
"Hungary","1985","Not applicable","Not applicable","Percent","4.72787"
"Hungary","1984","Not applicable","Not applicable","Percent","4.96309"
"Hungary","1983","Not applicable","Not applicable","Percent","5.413"
"Hungary","1982","Not applicable","Not applicable","Percent","4.6114"
